"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Acacia_abbreviata",0,1,"open",1,0
"Acacia_acanthaster",0,1,"open",1,0
"Acacia_acinacea",0.41,0.59,"open",1,1
"Acacia_aciphylla",0,1,"open",1,0
"Acacia_acoma",0,1,"open",1,0
"Acacia_acradenia",0,1,"open",1,0
"Acacia_acrionastes",1,0,"closed",0,1
"Acacia_acuaria",0,1,"open",1,0
"Acacia_aculeatissima",0.91,0.09,"closed",0,1
"Acacia_acuminata",0,1,"open",1,0
"Acacia_acutata",0,1,"open",1,0
"Acacia_adinophylla",0,1,"open",1,0
"Acacia_adnata",0,1,"open",1,0
"Acacia_adsurgens",0,1,"open",1,0
"Acacia_adunca",1,0,"closed",0,1
"Acacia_aestivalis",0,1,"open",1,0
"Acacia_alata",0,1,"open",1,0
"Acacia_alcockii",0,1,"open",1,0
"Acacia_alpina",0.3,0.7,"open",1,1
"Acacia_amblygona",0.41,0.59,"open",1,1
"Acacia_amblyophylla",0,1,"open",1,0
"Acacia_ammobia",0,1,"open",1,0
"Acacia_ampliceps",0,1,"open",1,0
"Acacia_amyctica",0,1,"open",1,0
"Acacia_anasilla",0,1,"open",1,0
"Acacia_anastema",0,1,"open",1,0
"Acacia_anaticeps",0,1,"open",1,0
"Acacia_anceps",0,1,"open",1,0
"Acacia_ancistrocarpa",0,1,"open",1,0
"Acacia_andrewsii",0,1,"open",1,0
"Acacia_aneura",0,1,"open",1,0
"Acacia_anfractuosa",0,1,"open",1,0
"Acacia_angusta",0.15,0.85,"open",1,0
"Acacia_anthochaera",0,1,"open",1,0
"Acacia_aphanoclada",0,1,"open",1,0
"Acacia_aphylla",0,1,"open",1,0
"Acacia_applanata",0,1,"open",1,0
"Acacia_aprepta",0,1,"open",1,0
"Acacia_aprica",0,1,"open",1,0
"Acacia_araneosa",0,1,"open",1,0
"Acacia_areolata",0,1,"open",1,0
"Acacia_argutifolia",0,1,"open",1,0
"Acacia_argyraea",0,1,"open",1,0
"Acacia_argyrophylla",0,1,"open",1,0
"Acacia_arida",0,1,"open",1,0
"Acacia_armitii",0,1,"open",1,0
"Acacia_arrecta",0,1,"open",1,0
"Acacia_ashbyae",0,1,"open",1,0
"Acacia_aspera",0.93,0.07,"closed",0,1
"Acacia_asperulacea",0,1,"open",1,0
"Acacia_assimilis",0,1,"open",1,0
"Acacia_atkinsiana",0,1,"open",1,0
"Acacia_atrox",1,0,"closed",0,1
"Acacia_attenuata",1,0,"closed",0,1
"Acacia_aulacophylla",0,1,"open",1,0
"Acacia_auratiflora",0,1,"open",1,0
"Acacia_aureocrinita",1,0,"closed",0,1
"Acacia_auricoma",0,1,"open",1,0
"Acacia_auronitens",0,1,"open",1,0
"Acacia_ausfeldii",1,0,"closed",0,1
"Acacia_axillaris",1,0,"closed",0,1
"Acacia_ayersiana",0,1,"open",1,0
"Acacia_baeuerlenii",1,0,"closed",0,1
"Acacia_baileyana",0.73,0.27,"closed",1,1
"Acacia_bakeri",1,0,"closed",0,1
"Acacia_balsamea",0,1,"open",1,0
"Acacia_bancroftiorum",0.11,0.89,"open",1,0
"Acacia_barattensis",0,1,"open",1,0
"Acacia_barringtonensis",1,0,"closed",0,1
"Acacia_basedowii",0,1,"open",1,0
"Acacia_baueri",1,0,"closed",0,1
"Acacia_baxteri",0,1,"open",1,0
"Acacia_beadleana",1,0,"closed",0,1
"Acacia_beauverdiana",0,1,"open",1,0
"Acacia_beckleri",0,1,"open",1,0
"Acacia_benthamii",0,1,"open",1,0
"Acacia_betchei",0.83,0.17,"closed",0,1
"Acacia_bidentata",0,1,"open",1,0
"Acacia_biflora",0,1,"open",1,0
"Acacia_binata",0,1,"open",1,0
"Acacia_binervata",1,0,"closed",0,1
"Acacia_bivenosa",0,1,"open",1,0
"Acacia_blakei",0.35,0.65,"open",1,1
"Acacia_blakelyi",0,1,"open",1,0
"Acacia_blayana",1,0,"closed",0,1
"Acacia_brachybotrya",0.12,0.88,"open",1,0
"Acacia_brachyclada",0,1,"open",1,0
"Acacia_brachystachya",0.01,0.99,"open",1,0
"Acacia_bracteolata",0,1,"open",1,0
"Acacia_brassii",0,1,"open",1,0
"Acacia_brockii",0,1,"open",1,0
"Acacia_bromilowiana",0,1,"open",1,0
"Acacia_bulgaensis",1,0,"closed",0,1
"Acacia_buxifolia",0.81,0.19,"closed",0,1
"Acacia_caesiella",0.7,0.3,"closed",1,1
"Acacia_calamifolia",0.03,0.97,"open",1,0
"Acacia_calantha",0,1,"open",1,0
